Year,Area Name,Carcass Size,Harvest Date,Location
2020,LAKE HARNEY,9 ft. 6 in.,08/31/2020,
2020,POLK COUNTY,9 ft. 6 in.,10/11/2020,
2020,STA - 2,9 ft. 6 in.,08/15/2020,
2020,LEVY COUNTY,9 ft. 6 in.,10/02/2020,SUWANNEE SOUND
2020,STA - 1W SOUTH,9 ft. 6 in.,08/17/2020,
2020,ST. JOHNS RIVER (LAKE HELL N' BLAZES),9 ft. 6 in.,10/24/2020,
2020,LAKE JESUP,9 ft. 6 in.,10/08/2020,
2020,STA - 2,9 ft. 6 in.,10/03/2020,
2020,STA - 3/4 WEST,9 ft. 6 in.,08/29/2020,
2020,DIXIE COUNTY,9 ft. 6 in.,10/23/2020,
2020,LAKE IAMONIA,9 ft. 6 in.,08/15/2020,
2020,DIXIE COUNTY,9 ft. 6 in.,11/01/2020,BUMBLEBEE CREEK
2020,LAKE COUNTY,9 ft. 6 in.,10/29/2020,HARRIS LAKE
2020,LAKE TOHOPEKALIGA,9 ft. 6 in.,10/23/2020,
2020,LAKE MARIAN,9 ft. 6 in.,10/29/2020,
2020,ORANGE COUNTY,9 ft. 6 in.,08/20/2020,JOHNS LAKE
2020,LAKE KISSIMMEE,9 ft. 6 in.,10/24/2020,
2020,HIGHLANDS COUNTY,9 ft. 6 in.,10/24/2020,
2020,NEWNANS LAKE,9 ft. 6 in.,10/09/2020,
2020,ST. JOHNS RIVER (PUZZLE LAKE),9 ft. 6 in.,08/15/2020,
2020,LAKE HANCOCK,9 ft. 6 in.,09/25/2020,
2020,LAKE COUNTY,9 ft. 6 in.,08/20/2020,
2020,LAKE IAMONIA,9 ft. 6 in.,10/31/2020,
2020,ST. JOHNS RIVER UPPER BASIN CANALS,9 ft. 6 in.,10/30/2020,
2020,STA - 1W NORTH,9 ft. 6 in.,08/21/2020,
2020,STA - 1W NORTH,9 ft. 6 in.,10/16/2020,
2020,KISSIMMEE RIVER (POOL A),9 ft. 6 in.,08/25/2020,
2020,LAKE MARIAN,9 ft. 6 in.,09/21/2020,
2020,POLK COUNTY,9 ft. 6 in.,08/18/2020,WEOHYAKAPKA CREEK
2020,EVERGLADES &amp; FRANCIS S. TAYLOR WMA (WCA 2),9 ft. 6 in.,10/31/2020,
